2018-12-20 08:10:42 status half-configured libapt-pkg5.0:amd64 1.2.24
2018-12-20 08:10:43 status unpacked libapt-pkg5.0:amd64 1.2.24
2018-12-20 08:10:43 status half-installed libapt-pkg5.0:amd64 1.2.24
2018-12-20 08:10:43 status half-installed libapt-pkg5.0:amd64 1.2.24
2018-12-20 08:10:43 status unpacked libapt-pkg5.0:amd64 1.2.29
2018-12-20 08:10:43 status unpacked libapt-pkg5.0:amd64 1.2.29
2018-12-20 08:10:43 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:43 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:43 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:43 startup packages configure
2018-12-20 08:10:43 configure libapt-pkg5.0:amd64 1.2.29 <none>
2018-12-20 08:10:43 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:43 status unpacked libapt-pkg5.0:amd64 1.2.29
2018-12-20 08:10:43 status half-configured libapt-pkg5.0:amd64 1.2.29
2018-12-20 08:10:43 status installed libapt-pkg5.0:amd64 1.2.29
2018-12-20 08:10:43 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:43 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:43 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:43 startup archives unpack
2018-12-20 08:10:43 upgrade libapt-inst2.0:amd64 1.2.24 1.2.29
2018-12-20 08:10:43 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:43 status half-configured libapt-inst2.0:amd64 1.2.24
2018-12-20 08:10:43 status unpacked libapt-inst2.0:amd64 1.2.24
2018-12-20 08:10:43 status half-installed libapt-inst2.0:amd64 1.2.24
2018-12-20 08:10:43 status half-installed libapt-inst2.0:amd64 1.2.24
2018-12-20 08:10:43 status unpacked libapt-inst2.0:amd64 1.2.29
2018-12-20 08:10:43 status unpacked libapt-inst2.0:amd64 1.2.29
2018-12-20 08:10:43 upgrade apt:amd64 1.2.24 1.2.29
2018-12-20 08:10:43 status half-configured apt:amd64 1.2.24
2018-12-20 08:10:43 status unpacked apt:amd64 1.2.24
2018-12-20 08:10:43 status half-installed apt:amd64 1.2.24
2018-12-20 08:10:44 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:44 status half-installed apt:amd64 1.2.24
2018-12-20 08:10:44 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:44 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:44 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:44 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:44 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:44 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:44 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:46 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:46 startup packages configure
2018-12-20 08:10:46 configure apt:amd64 1.2.29 <none>
2018-12-20 08:10:46 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:46 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:46 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:46 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:46 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:46 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:46 status unpacked apt:amd64 1.2.29
2018-12-20 08:10:46 status half-configured apt:amd64 1.2.29
2018-12-20 08:10:47 status installed apt:amd64 1.2.29
2018-12-20 08:10:47 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-20 08:10:47 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:47 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-20 08:10:47 startup archives unpack
2018-12-20 08:10:47 upgrade apt-utils:amd64 1.2.24 1.2.29
